"term","definition","names","preimage"
"precision","$\large \frac{tp}{tp + fp}$","precision<br>positive predictive value","$[0 \; 1]$"
"true positive rate","$\large \frac{tp}{tp + fn}$","true positive rate<br>sensitivity<br>recall","$[0 \; 1]$"
"true negative rate","$\large \frac{tn}{tn + fp}$","true negative rate<br>specificity<br>selectivity","$[0 \; 1]$"
"$fp$ (false positive)","A binary classification error whereby a test incorrectly classifies a negative case as a positive case.","false positive<br>false alarm","$[0 \; \infty)$"
